,0,1
173,"(202, 0.97999999999999976, -0.92000000000000004)","(-2284.280029, 3)"
174,"(202, 1.2199999999999998, -1.0)","(-2284.280029, 3)"
175,"(202, 1.4599999999999995, -1.0)","(-2284.280029, 3)"
176,"(202, 0.81999999999999984, -1.0)","(-2284.280029, 3)"
177,"(202, 1.3799999999999994, -0.84000000000000008)","(-2284.280029, 3)"
178,"(202, 0.81999999999999984, -0.92000000000000004)","(-2284.280029, 3)"
179,"(202, 1.0599999999999996, -1.0)","(-2284.280029, 3)"
180,"(202, 0.73999999999999988, -0.92000000000000004)","(-2284.280029, 3)"
181,"(202, 1.2199999999999998, -0.84000000000000008)","(-2284.280029, 3)"
182,"(202, 1.1399999999999997, -0.84000000000000008)","(-2284.280029, 3)"
183,"(202, 1.1399999999999997, -0.92000000000000004)","(-2284.280029, 3)"
184,"(202, 0.65999999999999992, -0.92000000000000004)","(-2284.280029, 3)"
185,"(202, 0.73999999999999988, -0.84000000000000008)","(-2284.280029, 3)"
186,"(202, 1.5399999999999996, -1.0)","(-2284.280029, 3)"
187,"(202, 1.3799999999999994, -0.92000000000000004)","(-2284.280029, 3)"
188,"(202, 0.73999999999999988, -1.0)","(-2284.280029, 3)"
189,"(202, 1.6999999999999993, -1.0)","(-2284.280029, 3)"
190,"(202, 0.57999999999999996, -0.84000000000000008)","(-2284.280029, 3)"
191,"(202, 1.6999999999999993, -0.92000000000000004)","(-2284.280029, 3)"
192,"(202, 0.81999999999999984, -0.84000000000000008)","(-2284.280029, 3)"
193,"(186, 1.6999999999999993, -0.92000000000000004)","(-2281.0999750000001, 3)"
194,"(186, 1.5399999999999996, -0.76000000000000012)","(-2281.0999750000001, 3)"
195,"(194, 1.7799999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
196,"(186, 1.6199999999999994, -1.0)","(-2281.0999750000001, 3)"
197,"(178, 1.5399999999999996, -1.0)","(-2281.0999750000001, 3)"
198,"(186, 1.6199999999999994, -0.76000000000000012)","(-2281.0999750000001, 3)"
199,"(178, 1.5399999999999996, -0.92000000000000004)","(-2281.0999750000001, 3)"
200,"(178, 1.7799999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
201,"(186, 1.7799999999999994, -0.84000000000000008)","(-2281.0999750000001, 3)"
202,"(186, 1.6199999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
203,"(194, 1.6999999999999993, -0.92000000000000004)","(-2281.0999750000001, 3)"
204,"(186, 1.5399999999999996, -0.92000000000000004)","(-2281.0999750000001, 3)"
205,"(194, 1.5399999999999996, -1.0)","(-2281.0999750000001, 3)"
206,"(194, 1.5399999999999996, -0.92000000000000004)","(-2281.0999750000001, 3)"
207,"(194, 1.5399999999999996, -0.84000000000000008)","(-2281.0999750000001, 3)"
208,"(186, 1.5399999999999996, -1.0)","(-2281.0999750000001, 3)"
209,"(194, 1.6999999999999993, -1.0)","(-2281.0999750000001, 3)"
210,"(186, 1.6999999999999993, -0.84000000000000008)","(-2281.0999750000001, 3)"
211,"(178, 1.6999999999999993, -0.92000000000000004)","(-2281.0999750000001, 3)"
212,"(194, 1.7799999999999994, -0.84000000000000008)","(-2281.0999750000001, 3)"
213,"(194, 1.6999999999999993, -0.84000000000000008)","(-2281.0999750000001, 3)"
214,"(194, 1.6199999999999994, -1.0)","(-2281.0999750000001, 3)"
215,"(186, 1.7799999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
216,"(186, 1.6999999999999993, -1.0)","(-2281.0999750000001, 3)"
217,"(178, 1.6199999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
218,"(194, 1.6199999999999994, -0.84000000000000008)","(-2281.0999750000001, 3)"
219,"(186, 1.7799999999999994, -0.76000000000000012)","(-2281.0999750000001, 3)"
220,"(178, 1.7799999999999994, -1.0)","(-2281.0999750000001, 3)"
221,"(186, 1.6199999999999994, -0.84000000000000008)","(-2281.0999750000001, 3)"
222,"(194, 1.7799999999999994, -1.0)","(-2281.0999750000001, 3)"
223,"(194, 1.6199999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
224,"(186, 1.7799999999999994, -1.0)","(-2281.0999750000001, 3)"
225,"(186, 1.5399999999999996, -0.84000000000000008)","(-2281.0999750000001, 3)"
226,"(186, 1.6999999999999993, -0.76000000000000012)","(-2281.0999750000001, 3)"
227,"(178, 1.6199999999999994, -1.0)","(-2281.0999750000001, 3)"
228,"(178, 1.6999999999999993, -1.0)","(-2281.0999750000001, 3)"
229,"(210, 1.6199999999999994, -0.84000000000000008)","(-2273.4699710000004, 3)"
230,"(210, 1.6199999999999994, -0.92000000000000004)","(-2273.4699710000004, 3)"
231,"(146, 1.5399999999999996, -0.92000000000000004)","(-2264.0799550000002, 5)"
232,"(146, 1.4599999999999995, -0.84000000000000008)","(-2264.0799550000002, 5)"
233,"(146, 1.5399999999999996, -0.84000000000000008)","(-2264.0799550000002, 5)"
234,"(138, 1.5399999999999996, -1.0)","(-2264.0799550000002, 5)"
235,"(138, 1.5399999999999996, -0.92000000000000004)","(-2264.0799550000002, 5)"
236,"(138, 1.6199999999999994, -0.84000000000000008)","(-2264.0799550000002, 5)"
237,"(138, 1.6199999999999994, -0.92000000000000004)","(-2264.0799550000002, 5)"
238,"(138, 1.5399999999999996, -0.84000000000000008)","(-2264.0799550000002, 5)"
239,"(146, 1.4599999999999995, -0.92000000000000004)","(-2264.0799550000002, 5)"
240,"(138, 1.6199999999999994, -1.0)","(-2264.0799550000002, 5)"
241,"(178, 1.8599999999999994, -0.92000000000000004)","(-2262.119995, 3)"
242,"(210, 1.6999999999999993, -0.84000000000000008)","(-2262.119995, 3)"
243,"(194, 1.8599999999999994, -0.84000000000000008)","(-2262.119995, 3)"
244,"(194, 1.8599999999999994, -1.0)","(-2262.119995, 3)"
245,"(186, 1.8599999999999994, -0.76000000000000012)","(-2262.119995, 3)"
246,"(210, 1.7799999999999994, -0.84000000000000008)","(-2262.119995, 3)"
